File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\Setting\pastebinsettings.cpp,199,147,106,18,34,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CloudPopup\Setting\pastebinsettings.h,71,40,21,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.cpp,279,203,150,16,58,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\contentviewer.h,124,73,38,0,33,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.cpp,172,107,82,10,45,0,20,126,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ColorViewer\colorviewer.h,72,36,11,0,18,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\HTMLViewer\htmlviewer.cpp,53,22,16,0,12,0,19,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\HTMLViewer\htmlviewer.h,51,20,6,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.cpp,211,138,94,11,51,2,22,143,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\ImageViewer\imageviewer.h,88,50,28,0,20,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linksviewer.cpp,75,41,31,1,16,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linkviewer.cpp,103,58,44,2,25,0,20,121,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linksviewer.h,68,32,10,0,18,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\linkviewer.h,76,40,16,0,18,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\FileViewer\errorwidget.cpp,48,22,16,3,8,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\FileViewer\fileviewer.cpp,101,71,54,7,12,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\FileViewer\errorwidget.h,48,21,8,0,9,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\LinksViewer\FileViewer\fileviewer.h,68,32,9,0,18,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\TextViewer\textviewer.cpp,37,12,9,0,7,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ContentViewer\Viewers\TextViewer\textviewer.h,46,17,5,0,11,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\coreui.cpp,85,53,34,11,14,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\coreui.h,40,14,4,0,8,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\browsedialog.cpp,77,44,36,2,15,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\flatactionbutton.cpp,31,10,7,0,3,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.cpp,138,89,57,6,31,1,18,118,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\lineedit.cpp,58,35,8,0,5,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\linkbutton.cpp,70,36,25,1,16,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\tooltipwindow.cpp,144,92,67,6,34,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\browsedialog.h,57,26,11,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\flatactionbutton.h,34,10,3,0,6,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\infospopup.h,65,32,17,0,15,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\lineedit.h,40,14,5,0,8,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\linkbutton.h,52,21,7,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\Widgets\tooltipwindow.h,82,39,16,0,25,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\WidgetsManager\widgetsmanager.cpp,123,86,59,8,19,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\CoreUI\WidgetsManager\widgetsmanager.h,61,31,16,0,12,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidget\datawidget.cpp,460,339,249,36,97,0,24,123,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidget\datawidget.h,148,95,56,0,35,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidget\ThumbnailWidget\colorthumbnailwidget.cpp,38,14,8,0,6,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidget\ThumbnailWidget\imagethumbnail.cpp,66,35,21,1,13,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidget\ThumbnailWidget\colorthumbnailwidget.h,51,20,5,0,13,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidget\ThumbnailWidget\imagethumbnail.h,59,26,10,0,15,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidgetContainer\datawidgetcontainer.cpp,88,56,41,4,14,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidgetContainer\headerwidget.cpp,55,37,25,2,18,0,0,0,0,0
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidgetContainer\datawidgetcontainer.h,62,29,11,0,15,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DataWidgetContainer\headerwidget.h,44,28,9,0,16,1,0,1,0,0
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DownloadDialog\downloaddialog.cpp,100,62,47,2,20,1,18,118,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DownloadDialog\downloaddialog.h,60,30,14,0,12,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DragDropScreen\dragdropscreen.cpp,102,64,50,2,20,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\DragDropScreen\dragdropscreen.h,69,34,15,0,17,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\UI\ListWidget\abstractlistedwidget.cpp,126,75,42,7,32,0,19,117,18,116
