File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysmanager.cpp,"HotKeysManager::registerHotKey(const HotKeysAction &action, const QString sequence)",6,3,3,0,2,0,1,1,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysmanager.cpp,"HotKeysManager::registerHotKeys(const QMap<size_t, QString> sequences)",7,6,5,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysmanager.cpp,HotKeysManager::unregisterAll(),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysmanager.cpp,HotKeysManager::sequences() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysutils.cpp,HotKeysUtils::loadSequences(const QString &fileName),13,9,8,2,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysutils.cpp,"HotKeysUtils::saveSequences(const QMap<size_t, QString> &sequences, const QString &fileName)",9,7,6,1,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysutils.cpp,HotKeysUtils::fillDefaultSequences(HotKeysManager *manager),5,5,5,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysutils.cpp,HotKeysUtils::fileName(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,"PrintManager::PrintManager(Core::ClipboardData *data, QObject *parent)",1,1,1,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,PrintManager::setData(Core::ClipboardData *p_data),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,PrintManager::print(QWidget *dialogParent),17,12,10,2,5,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,PrintManager::generatePrint(QPrinter &printer),24,24,16,8,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,PrintManager::printText(QPrinter &printer),4,4,4,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,PrintManager::printHtml(QPrinter &printer),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,PrintManager::printImage(QPrinter &printer),8,5,5,0,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,PrintManager::printUrls(QPrinter &printer),11,8,7,1,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,PrintManager::printColor(QPrinter &printer),59,43,43,0,16,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,"PrintManager::printRawHtml(QPrinter &printer, const QString &html, int fontSize)",30,22,18,3,8,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\processutils.cpp,ProcessUtils::processUtilsAvailable(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\processutils.cpp,ProcessUtils::getProcessPathFromActiveWindow(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\processutils.cpp,ProcessUtils::getActiveWindowTitle(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\API\DefaultProcUtilsAPI\defaultprocutilsapi.cpp,API_available(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\API\DefaultProcUtilsAPI\defaultprocutilsapi.cpp,API_getProcessPathFromActiveWindow(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\API\DefaultProcUtilsAPI\defaultprocutilsapi.cpp,API_getActiveWindowTitle(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\API\WIN32\win32.cpp,API_available(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\API\WIN32\win32.cpp,API_getProcessPathFromActiveWindow(),33,26,16,7,7,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils\API\WIN32\win32.cpp,API_getActiveWindowTitle(),10,8,7,3,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::SettingsManager(),12,12,12,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::settings(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::setSettings(const Core::Settings &settings),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::filename() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::setFilename(const QString &filename),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::lang(),6,5,4,3,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::availableLanguages(const QString &dirName),13,10,8,3,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::load(),17,13,13,0,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\SettingsManager\settingsmanager.cpp,SettingsManager::save(),24,20,20,0,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ThreadLoader\threadloader.cpp,"ThreadLoader::ThreadLoader(BookmarkManager *manager, QObject *parent)",2,1,1,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ThreadLoader\threadloader.cpp,ThreadLoader::bookmarks() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ThreadLoader\threadloader.cpp,ThreadLoader::run(),16,12,11,1,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\UniqueProcessChecker\uniqueprocesschecker.cpp,UniqueProcessChecker::UniqueProcessChecker(QObject *parent),2,1,1,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\UniqueProcessChecker\uniqueprocesschecker.cpp,UniqueProcessChecker::makeUnique(QObject *parent),8,5,5,1,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\UniqueProcessChecker\uniqueprocesschecker.cpp,UniqueProcessChecker::isUnique(QObject *parent),8,5,5,1,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\UniqueProcessChecker\uniqueprocesschecker.cpp,UniqueProcessChecker::key(),2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::Updater(),3,3,3,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::checkForUpdates(Mode mode),10,7,7,0,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::downloadNewVersion(),9,7,7,0,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::versionsURL(),3,2,2,1,0,0,1,2,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::downloadCheckFinished(),14,9,8,1,5,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::downloadInstallerFinished(),6,4,4,0,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::cancel(),5,4,4,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::err(),5,4,4,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::getMode() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::isCodeValid(int code),6,5,4,3,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::getLastVersion() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::getDataInstaller() const,2,2,2,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::extractVersions(QString xml),18,15,11,4,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::extractLastVersion(),21,16,12,5,5,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\updater.cpp,Updater::checkIfAppIsLastVersion(const Version &version),9,7,6,2,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\UpdaterUtils\updaterutils.cpp,UpdaterUtils::UpdaterUtils(QObject *parent),49,38,35,1,11,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\UpdaterUtils\updaterutils.cpp,UpdaterUtils::checkForUpdates(Updater::Mode mode),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\UpdaterUtils\updaterutils.cpp,"UpdaterUtils::updaterFinishedCheck(QString version, QString changelog, bool isAppLastVersion)",28,21,15,3,7,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Updater\UpdaterUtils\updaterutils.cpp,UpdaterUtils::updaterDownloadFinished(),14,11,7,1,3,0,0,0,
